{,#N/A,German,Spanish,Brazilian Portuguese,Russian,Japanese,Simplified Chinese,Italian,French,Korean,Turkish,Hungarian
"config.On/off.description: "" = D O = N O T = U S E = For experimental usage only -> change at your own risk! = This setting lets you choose if Eleanor will be added to the game. As of 0.9.0-beta.3, it is functional. When set to safe mode, Eleanor will be put out of the map but all progress with her will be kept. When off, Eleanor will be deleted from the game. Default setting: on."","," = D O = N O T = U S E = For experimental usage only -> change at your own risk! = This setting lets you choose if Eleanor will be added to the game. As of 0.9.0-beta.3, it is functional. When set to safe mode, Eleanor will be put out of the map but all progress with her will be kept. When off, Eleanor will be deleted from the game. Default setting: on."," = D O = N O T = U S E = Nur für experimentelle Verwendung -> Änderung auf eigene Gefahr! = Mit dieser Einstellung können Sie auswählen, ob Eleanor zum Spiel hinzugefügt wird. Ab 0.9.0-beta.3 ist es funktionsfähig. Im abgesicherten Modus wird Eleanor von der Karte entfernt, alle Fortschritte mit ihr bleiben jedoch erhalten. Wenn diese Option deaktiviert ist, wird Eleanor aus dem Spiel gelöscht. Standardeinstellung: ein."," = D O = N O T = U S E = Solo para uso experimental -> ¡cambie bajo su propio riesgo! = Esta configuración te permite elegir si Eleanor se agregará al juego. A partir de 0.9.0-beta.3, es funcional. Cuando se configura en modo seguro, Eleanor quedará fuera del mapa, pero se mantendrá todo el progreso con ella. Cuando esté apagada, Eleanor será eliminada del juego. Configuración predeterminada: activada."," = D O = N O T = U S E = Apenas para uso experimental -> altere por sua conta e risco! = Esta configuração permite escolher se Eleanor será adicionada ao jogo. A partir da versão 0.9.0-beta.3, ele está funcional. Quando definida para o modo de segurança, Eleanor será retirada do mapa, mas todo o progresso com ela será mantido. Quando desativado, Eleanor será excluída do jogo. Configuração padrão: ativado."," = НЕТ = НЕТ = ИСПОЛЬЗОВАНИЕ = Только для экспериментального использования -> меняйте на свой страх и риск! = Этот параметр позволяет вам выбрать, будет ли Элеонора добавлена ​​в игру. Начиная с версии 0.9.0-beta.3, он работает. В безопасном режиме Элеонора будет удалена с карты, но весь прогресс с ней сохранится. Если отключено, Элеонора будет удалена из игры. Настройка по умолчанию: включено.", = D O = N O T = U S E = 実験的使用のみ -> 変更は自己責任で行ってください。 = この設定では、エレノアをゲームに追加するかどうかを選択できます。 0.9.0-beta.3 以降、機能します。セーフ モードに設定すると、エレノアはマップから除外されますが、彼女との進行状況はすべて保持されます。オフにすると、エレノアはゲームから削除されます。デフォルト設定: オン。, = D O = N O T = U S E = 仅供实验使用 -> 更改后果自负！ = 此设置允许您选择是否将埃莉诺添加到游戏中。从 0.9.0-beta.3 开始，它就可以运行了。当设置为安全模式时，埃莉诺将被排除在地图之外，但她的所有进度都将保留。关闭后，埃莉诺将从游戏中删除。默认设置：打开。," = D O = N O T = U S E = Solo per uso sperimentale -> modifica a tuo rischio e pericolo! = Questa impostazione ti consente di scegliere se Eleanor verrà aggiunta al gioco. A partire dalla versione 0.9.0-beta.3, è funzionante. Quando viene impostata la modalità provvisoria, Eleanor verrà eliminata dalla mappa ma tutti i progressi con lei verranno mantenuti. Quando è disattivato, Eleanor verrà eliminata dal gioco. Impostazione predefinita: attiva."," = D O = N O T = U S E = Pour usage expérimental uniquement -> modification à vos propres risques ! = Ce paramètre vous permet de choisir si Eleanor sera ajoutée au jeu. Depuis la version 0.9.0-beta.3, il est fonctionnel. Lorsqu'elle est réglée en mode sans échec, Eleanor sera exclue de la carte mais tous les progrès réalisés avec elle seront conservés. Lorsqu'elle est désactivée, Eleanor sera supprimée du jeu. Paramètre par défaut : activé.", = D O = N O T = U S E = 실험용으로만 사용 -> 변경에 따른 책임은 본인에게 있습니다! = 이 설정을 사용하면 Eleanor를 게임에 추가할지 여부를 선택할 수 있습니다. 0.9.0-beta.3부터 작동합니다. 안전 모드로 설정하면 Eleanor는 지도에서 사라지지만 Eleanor와 관련된 모든 진행 상황은 유지됩니다. 끄면 Eleanor가 게임에서 삭제됩니다. 기본 설정: 켜짐., = D O = N O T = U S E = Yalnızca deneysel kullanım içindir -> değişiklik riski size aittir! = Bu ayar Eleanor'un oyuna eklenip eklenmeyeceğini seçmenizi sağlar. 0.9.0-beta.3'ten itibaren işlevseldir. Güvenli moda ayarlandığında Eleanor haritadan çıkarılacak ancak onunla ilgili tüm ilerlemeler korunacak. Kapatıldığında Eleanor oyundan silinecek. Varsayılan ayar: açık.," = D O = N O T = U S E = Csak kísérleti használatra -> a változtatást saját felelősségére! = Ezzel a beállítással kiválaszthatod, hogy Eleanor hozzáadásra kerül-e a játékhoz. A 0.9.0-beta.3 verziótól kezdve működőképes. Ha csökkentett módba van állítva, Eleanor kikerül a térképről, de minden vele kapcsolatos előrehaladás megmarad. Ha ki van kapcsolva, Eleanor törlődik a játékból. Alapértelmezett beállítás: be."
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
// Eleanor's name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"DisplayName: ""Eleanor"",",Eleanor,Eleanor,Leonor,Leonor,Элеонора,エレノア,埃莉诺,Eleonora,Éléonore,엘레노어,Eleanor,Eleanor
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
// compatibility.json,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dialogues.addons.MobilePhoneGreeting.0: ""I wish you a good day, {{DT_name}}. It's always a pleasure to receive a call from you."",","I wish you a good day, {{DT_name}}. It's always a pleasure to receive a call from you.","Ich wünsche dir einen schönen Tag, {{DT_name}}. Es ist immer eine Freude, einen Anruf von Ihnen zu erhalten.","Te deseo un buen día, {{DT_name}}. Siempre es un placer recibir una llamada tuya.","Desejo a você um bom dia, {{DT_name}}. É sempre um prazer receber uma ligação sua.","Желаю тебе хорошего дня, {{DT_name}}. Всегда приятно получить от вас звонок.",良い一日をお祈りします、{{DT_name}}。あなたから電話を受けるのはいつも嬉しいことです。,祝您有美好的一天，{{DT_name}}。接到您的电话总是很高兴。,"Ti auguro una buona giornata, {{DT_name}}. È sempre un piacere ricevere una tua chiamata.","Je vous souhaite une bonne journée, {{DT_name}}. C'est toujours un plaisir de recevoir un appel de votre part.","좋은 하루 보내시기 바랍니다, {{DT_name}}님. 귀하로부터 전화를 받는 것은 언제나 기쁜 일입니다.",Sana iyi günler dilerim {{DT_name}}. Sizden telefon almak her zaman bir zevktir.,"Jó napot kívánok, {{DT_name}}. Mindig öröm, ha hívást kapunk."
"Dialogues.addons.MobilePhoneGreeting.1: ""Hello, {{DT_name}}. Do you need something?"",","Hello, {{DT_name}}. Do you need something?","Hallo, {{DT_name}}. Brauchen Sie etwas?","Hola, {{DT_name}}. ¿Necesitas algo?","Olá, {{DT_name}}. Você precisa de alguma coisa?","Здравствуйте, {{DT_name}}. Вам что-то нужно?",こんにちは、{{DT_name}}。何か必要ですか？,你好，{{DT_name}}。你需要什么吗？,"Ciao, {{DT_name}}. Hai bisogno di qualcosa?","Bonjour, {{DT_name}}. As-tu besoin de quelque chose ?","안녕하세요, {{DT_name}}님. 필요한 것이 있나요?",Merhaba {{DT_name}}. Bir şeye mi ihtiyacın var?,"Helló, {{DT_name}}. Kell valami?"
"Dialogues.addons.MobilePhoneGreeting.2: ""Hello. Eleanor here, who is at the other end? {{DT_name}}? Hello, how can I help you?"",","Hello. Eleanor here, who is at the other end? {{DT_name}}? Hello, how can I help you?","Hallo. Eleanor hier, wer ist am anderen Ende? {{DT_name}}? Hallo, wie kann ich Ihnen helfen?","Hola. Eleanor, ¿quién está al otro lado? ¿{{DT_nombre}}? Hola, ¿en qué puedo ayudarte?","Olá. Eleanor aqui, quem está do outro lado? {{DT_nome}}? Olá, como posso ajudá-lo?","Привет. Элеонора здесь, кто на другом конце? {{DT_name}}? Здравствуйте, чем я могу вам помочь?",こんにちは。エレノアさん、向こうにいるのは誰ですか？ {{DT_name}}?こんにちは、どうすればお手伝いできますか?,你好。埃莉诺在这里，另一端是谁？ {{DT_name}}？您好，请问有什么可以帮您的吗？,"Ciao. Eleanor, qui, chi c'è dall'altra parte? {{DT_name}}? Ciao, come posso aiutarti?","Bonjour. Eleanor ici, qui est à l'autre bout du fil ? {{DT_name}} ? Bonjour, comment puis-je vous aider ?","안녕하세요. 여기 엘레노어, 반대편에는 누구요? {{DT_name}}? 안녕하세요. 무엇을 도와드릴까요?","Merhaba. Eleanor burada, diğer uçta kim var? {{DT_name}}? Merhaba, size nasıl yardımcı olabilirim?","Helló. Eleanor itt, ki van a másik végén? {{DT_name}}? Hello, hogyan segíthetek?"
"Dialogues.addons.MobilePhoneReminisce: ""Anything else, {{DT_name}}?"",","Anything else, {{DT_name}}?","Sonst noch etwas, {{DT_name}}?","¿Algo más, {{DT_name}}?","Mais alguma coisa, {{DT_name}}?","Что-нибудь еще, {{DT_name}}?",他に何かありますか、{{DT_name}}？,还有什么吗，{{DT_name}}？,"C'è altro, {{DT_name}}?","Y a-t-il autre chose, {{DT_name}} ?","다른 건 없나요, {{DT_name}}님?",Başka bir şey var mı {{DT_name}}?,"Valami más, {{DT_name}}?"
"Dialogues.addons.MobilePhoneInvite: ""You'd wish to do something together?"",",You'd wish to do something together?,Sie möchten gemeinsam etwas unternehmen?,¿Les gustaría hacer algo juntos?,Você gostaria de fazer algo juntos?,Вы хотели бы сделать что-нибудь вместе?,一緒に何かやりませんか？,你们想一起做点什么吗？,Vorreste fare qualcosa insieme?,Vous souhaiteriez faire quelque chose ensemble ?,같이 뭔가 하고 싶나요?,Birlikte bir şeyler yapmak ister misiniz?,Szeretnél valamit együtt csinálni?
"Dialogues.addons.MobilePhoneGoodBye.0: ""Goodbye, {{DT_name}}. May your day continue well."",","Goodbye, {{DT_name}}. May your day continue well.","Auf Wiedersehen, {{DT_name}}. Möge dein Tag gut weitergehen.","Adiós, {{DT_name}}. Que tu día siga bien.","Adeus, {{DT_name}}. Que seu dia continue bem.","До свидания, {{DT_name}}. Пусть твой день продолжается хорошо.",さようなら、{{DT_name}}。あなたの一日が順調に続きますように。,再见，{{DT_name}}。愿你的一天继续顺利。,"Arrivederci, {{DT_name}}. Possa la tua giornata continuare bene.","Au revoir, {{DT_name}}. Que ta journée continue bien.","안녕히 계세요, {{DT_name}}님. 당신의 하루가 계속되기를 바랍니다.",Hoşça kal {{DT_name}}. Gününüz güzel devam etsin.,"Viszlát, {{DT_name}}. Szépen folytatódjon a napod."
"Dialogues.addons.MobilePhoneGoodBye.1: ""Feel free to call anytime, {{DT_name}}. Goodbye."",","Feel free to call anytime, {{DT_name}}. Goodbye.","Rufen Sie jederzeit gerne an, {{DT_name}}. Auf Wiedersehen.","No dudes en llamar en cualquier momento, {{DT_name}}. Adiós.","Sinta-se à vontade para ligar a qualquer momento, {{DT_name}}. Adeus.","Звоните в любое время, {{DT_name}}. До свидания.",いつでもお気軽にお電話ください、{{DT_name}}。さようなら。,欢迎随时致电，{{DT_name}}。再见。,"Sentiti libero di chiamare in qualsiasi momento, {{DT_name}}. Arrivederci.","N'hésitez pas à appeler à tout moment, {{DT_name}}. Au revoir.","{{DT_name}}님, 언제든지 전화해 주세요. 안녕히 가세요.",İstediğiniz zaman arayabilirsiniz {{DT_name}}. Güle güle.,"Nyugodtan hívjon bármikor, {{DT_name}}. Búcsú."
"Dialogues.addons.MobilePhoneGoodBye.2: ""Bye now, {{DT_name}}."",","Bye now, {{DT_name}}.","Tschüss, {{DT_name}}.","Adiós, {{DT_name}}.","Tchau, {{DT_name}}.","Пока, {{DT_name}}.",さようなら、{{DT_name}}。,现在再见，{{DT_name}}。,"Ciao adesso, {{DT_name}}.","Au revoir maintenant, {{DT_name}}.","이제 안녕, {{DT_name}}.",Şimdi hoşça kal {{DT_name}}.,"Viszlát, {{DT_name}}."
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
// Dialogues.json,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
// Daily dialogues,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dialogues.0hearts.random.0: ""Uh...#$b#Hello, {{DT_name}}.#$b#%Eleanor turns away from you... Looks like she is trying to ignore your existence."",","Uh...#$b#Hello, {{DT_name}}.#$b#%Eleanor turns away from you... Looks like she is trying to ignore your existence.","Äh...#$b#Hallo, {{DT_name}}.#$b#%Eleanor wendet sich von dir ab... Sieht aus, als würde sie versuchen, deine Existenz zu ignorieren.","Uh...#$b#Hola, {{DT_name}}.#$b#%Eleanor se aleja de ti... Parece que está tratando de ignorar tu existencia.","Uh...#$b#Olá, {{DT_name}}.#$b#%Eleanor se afasta de você... Parece que ela está tentando ignorar sua existência.","Э-э...#$b#Привет, {{DT_name}}.#$b#%Элеанор отворачивается от тебя... Похоже, она пытается игнорировать твое существование.",えー...#$b#こんにちは、{{DT_name}}。#$b#%エレノアはあなたから背を向けています...彼女はあなたの存在を無視しようとしているようです。,呃...#$b#Hello，{{DT_name}}。#$b#%Eleanor 背对着你...看起来她正试图忽略你的存在。,"Uh...#$b#Ciao, {{DT_name}}.#$b#%Eleanor si allontana da te... Sembra che stia cercando di ignorare la tua esistenza.","Euh...#$b#Bonjour, {{DT_name}}.#$b#%Eleanor se détourne de vous... On dirait qu'elle essaie d'ignorer votre existence.","어...#$b#안녕하세요, {{DT_name}} 님.#$b#%Eleanor가 당신에게서 등을 돌리고 있습니다... 그녀는 당신의 존재를 무시하려는 것 같습니다.",Uh...#$b#Merhaba {{DT_name}}.#$b#%Eleanor senden uzaklaşıyor... Görünüşe göre senin varlığını görmezden gelmeye çalışıyor.,"Ööö...#$b#Szia, {{DT_name}}.#$b#%Eleanor elfordul tőled... Úgy tűnik, megpróbálja figyelmen kívül hagyni a létezését."
